Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:38JAmFu3FCDVGBuoLvquBW,"The Breeze and I","1939-40","Jimmy Dorsey & His Orchestra",1982,179279,30,false,sauerro,2021-11-16T17:20:34Z,"big band,swing music","Circle",0.398,0.317,8,-8.448,1,0.0297,0.961,0.131,0.121,0.346,129.009,4
spotify:track:6ETcM8zEiAvTd0rc7CYeID,"Blueberry Hill - 2002 Remastered","The Essential Glenn Miller","Glenn Miller",1996,171653,34,false,sauerro,2021-11-16T17:20:50Z,"big band,swing music,jazz","RCA Victor/Legacy",0.525,0.0729,3,-12.683,1,0.0303,0.963,0.0669,0.243,0.396,101.511,4
spotify:track:6jSOQzZ92aPKN0p2m09y2n,"Maybe","The Anthology","The Ink Spots",1998-06-16,182733,59,false,sauerro,2021-11-16T17:21:06Z,"adult standards","Geffen",0.407,0.0944,5,-17.809,1,0.0288,0.992,0.611,0.105,0.199,92.145,4
spotify:track:1VrOQx1lk3qspIg38q0jwN,"Trade Winds","Bing-His Legendary Years 1931-1957","Bing Crosby",1993-01-01,195933,10,false,sauerro,2021-11-16T17:21:19Z,"christmas","Geffen*",0.418,0.0201,0,-17.227,1,0.033,0.985,0.0642,0.295,0.367,90.834,4
spotify:track:2cdXNtJQBPbcwYneHsxezH,"A Nightingale Sang In Berkeley Square - Remastered 2002","Platinum Glenn Miller","Glenn Miller",2003-03-04,219213,9,false,sauerro,2021-11-16T17:21:35Z,"big band,swing music,jazz","RCA Bluebird",0.278,0.0734,8,-17.389,1,0.032,0.967,0.0103,0.272,0.171,74.128,4
spotify:track:4XxRkTyJnXdCYP9ANzgLlB,"Down Argentina Way - Remastered","Golden Selection (Remastered)","Bob Crosby & The Bob Cats",2019-10-04,155853,23,false,sauerro,2021-11-16T17:22:26Z,"big band,swing music","Master Tape Records",0.597,0.682,7,-4.71,1,0.075,0.845,0.0119,0.0683,0.877,166.429,4
spotify:track:1po5t8dYkOYnDLw5rrGTgK,"Scrub Me Mama with a Boogie Beat - Remastered","Featuring All The Hits! (Remastered)","Will Bradley",2020-08-14,188666,3,false,sauerro,2021-11-16T17:22:41Z,"boogie-woogie,big band,swing music","Master Tape Records",0.57,0.696,0,-7.019,1,0.0977,0.872,0.461,0.0548,0.938,171.526,4
spotify:track:5LRwSKBY3TSOPHU4UZ1ykM,"I Hear a Rhapsody","Essential Vol. 2","Charlie Barnet & His Orchestra",2008-06-30,155533,1,false,sauerro,2021-11-16T17:23:17Z,"big band,swing music,ragtime","Fantastic Voyage",0.393,0.132,1,-13.495,1,0.0313,0.924,0.0671,0.0646,0.256,95.42,3
spotify:track:6edos2l0iwffcJZY7Sg0oj,"High On A Windy Hill","Racing With The Moon: An Anthology 1940-56","Vaughn Monroe",2008-08-11,184579,1,false,sauerro,2021-11-16T17:26:35Z,"big band,adult standards","Future Noise Music Ltd.",0.307,0.227,7,-10.719,0,0.0303,0.944,0.0429,0.429,0.315,140.53,4
spotify:track:73VZpSyoNsypvhOSnXhfMp,"Oh! Look at Me Now","Ecstasy!","Tommy Dorsey",2021-07-02,203613,0,false,sauerro,2021-11-16T20:17:08Z,"big band,swing music,adult standards","Razzle Dazzle",0.753,0.208,0,-12.532,1,0.0439,0.809,0,0.217,0.444,125.952,4
